    aerate; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 6
    renitent; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2794
    rennet; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2800
    rennin; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2806
    rent; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2807
    rente; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2812
    renter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2818
    rentier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2825
    renting; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2832
    reran; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2837
    rerig; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2842
    rerigging; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2851
    retag; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2856
    retagging; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 2872
    retain; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2878
    retainer; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2886
    retaining; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 2902
    retarget; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2910
    retargeting; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 2928
    rete; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2929
    retear; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2935
    retearing; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 2951
    retene; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2957
    retia; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2962
    retiarii; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2970
    retie; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2975
    retina; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2981
    retinae; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2988
    retine; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2994
    retinene; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3002
    retinite; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3010
    retint; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3016
    retinting; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 3025
    retirant; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3033
    retire; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3039
    retiree; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3046
    retirer; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3053
    retiring; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3061
    retrain; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3068
    retraining; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 3085
    retreat; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3092
    retreatant; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 3102
    retreater; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 3111
    retreating; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 3128
    retting; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3135
    riant; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3140
    riata; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3145
    rigger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3151
    rigging; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3158
    ring; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3159
    ringent; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3166
    ringer; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3172
    ringgit; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3179
    ringing; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3186
    rinning; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3193
    rite; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3194
    ritter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3200
    tagger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3206
    tagrag; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3212
    tanager; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3219
    tangerine; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 3235
    tangier; Length: 7; Length score: 7; Bonus score: 7; Cumulative score: 3249
    tanner; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3255
    tantara; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3262
    tantra; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3268
    tare; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3269
    targe; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3274
    target; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3280
    targeting; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 3296
    taring; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3302
    tarn; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3303
    tarre; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3308
    tarrier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3315
    tarring; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3322
    tart; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3323
    tartan; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3329
    tartana; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3336
    tartar; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3342
    tarter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3348
    tarting; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3355
    tartrate; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3363
    tatar; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3368
    tater; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3373
    tatter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3379
    tattering; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 3395
    tattier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3402
    tear; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3403
    tearer; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3409
    tearier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3416
    tearing; Length: 7; Length score: 7; Bonus score: 7; Cumulative score: 3430
    teenager; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3438
    teener; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3444
    teenier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3451
    teeter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3457
    teetering; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 3466
    tenner; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3472
    tenter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3478
    tentering; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 3487
    tentier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3494
    terai; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3499
    terete; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3505
    terga; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3510
    tergite; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3517
    tern; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3518
    ternate; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3525
    terne; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3530
    terra; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3535
    terrae; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3541
    terrain; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3548
    terrane; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3555
    terraria; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3563
    terreen; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3570
    terrene; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3577
    terret; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3583
    terrier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3590
    terrine; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3597
    territ; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3603
    tertian; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3610
    tetra; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3615
    tetter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3621
    tiara; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3626
    tier; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3627
    tiering; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3634
    tiger; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3639
    tinier; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3645
    tinner; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3651
    tinnier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3658
    tinter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3664
    tire; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3665
    tiring; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3671
    titer; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3676
    titrant; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3683
    titrate; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3690
    titrating; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 3699
    titre; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3704
    titter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3710
    titterer; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3718
    tittering; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 3727
    tragi; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3732
    train; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3737
    trainee; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3744
    trainer; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3751
    training; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3759
    trait; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3764
    treat; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3769
    treater; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3776
    treating; Length: 8; Length score: 8; Bonus score: 7; Cumulative score: 3791
    tree; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3792
    treeing; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3799
    treen; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3804
    tret; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3805
    triage; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3811
    triaging; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3819
    triene; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3825
    triennia; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3833
    trier; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3838
    trig; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 3839
    trigger; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3846
    triggering; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 3856
    trigging; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 3864
    trine; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3869
    trining; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 3876
    trinitarian; Length: 11; Length score: 11; Bonus score: 0; Cumulative score: 3887
    trite; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 3892
    triter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 3898
